V1,V2
15.909,17837.48242
16.41,17778.27734
16.91,18054.12109
17.41,17882.5293
17.911,18335.9043
18.411,16780.375
18.911,17600.81055
19.411,17396.16211
19.912,16399.42773
20.412,18112.9082
20.912,16471.73438
21.412,16215.90527
21.913,17650.05273
22.413,17529.16016
22.913,17197.08008
23.413,15962.87207
23.914,17326.97656
24.414,16628.79297
24.914,17069.01367
25.414,16346.31348
25.915,16724.23047
26.415,17735.14453
26.915,17154.66211
27.415,17170.4375
27.916,18409.83398
28.416,25236.375
28.916,97669.89844
29.416,267761.5938
29.917,395007.625
30.417,453030.6563
30.917,491988.4063
31.417,489685.75
31.918,453041
32.418,337062.1875
32.918,139432.5156
33.418,46558.92969
33.919,20238.73633
34.419,7433
34.919,3069.040039
35.419,882.0996094
35.92,267.1191101
36.42,378.7714844
36.92,554.8869629
37.42,373.556488
37.921,876.100647
38.421,1040.972656
38.921,1977.022949
39.421,2077.525635
39.922,1742.00061
40.422,1489.100464
40.922,1645.041504
41.422,1305.104736
41.923,1150.361206
42.423,1582.25293
42.923,1404.428833
43.423,1430.562378
43.924,1425.217651
44.424,1348.679565
44.924,1592.295532
45.425,1704.777588
